2919,86
2768,84
2073,76
2803,74
2727,62
2068,54
228,50
7195,46
4274,42
368,38
2755,38
2742,34
5626,33
5633,32
3532,31
1725,30
259,29
4265,28
373,27
370,25
3080,25
265,25
381,24
1711,21
2732,20
865,20
2738,20
220,19
515,19
4462,18
2853,18
229,18
3913,18
635,18
5636,17
396,17
5289,16
6049,16
962,15
5663,14
5121,14
5147,14
2126,14
4258,13
861,13
5628,13
283,13
401,13
486,13
2970,13
472,13
1059,12
7913,12
4250,12
479,12
6623,12
233,11
2931,11
1740,11
2899,11
282,11
1733,10
3598,10
1738,10
432,10
4348,10
4183,10
5303,10
411,9
2734,9
4346,9
2816,9
4338,9
2771,9
1170,9
1311,8
2856,8
847,8
2090,8
224,8
2205,8
352,8
5631,8
4,8
2782,8
3113,8
4267,7
476,7
882,7
2753,7
2786,7
2731,7
2770,7
5694,7
388,7
782,7
2998,7
394,7
2114,7
277,7
5656,7
10,7
2824,7
2693,7
862,7
2708,7
3907,7
4112,7
2741,7
7074,7
227,7
2034,7
6631,6
8443,6
2070,6
3916,6
4420,6
2381,6
3051,6
7709,6
5632,6
6055,6
4113,6
3004,6
2981,6
2100,6
8154,6
2162,6
689,6
1812,6
2641,6
6680,6
6577,6
2699,5
4304,5
1796,5
8444,5
7903,5
447,5
3914,5
2922,5
247,5
695,5
523,5
2129,5
2130,5
467,5
4262,5
226,5
1502,5
7924,5
2190,5
5313,5
3627,5
5305,5
1304,5
7,5
2848,5
4410,5
1710,5
5505,5
4717,5
328,5
2832,5
76,5
2599,5
4108,5
5451,5
2757,5
701,5
5154,5
6641,5
6149,5
5635,5
379,4
258,4
7925,4
40,4
386,4
340,4
4205,4
2904,4
5627,4
42,4
4443,4
5169,4
5131,4
389,4
469,4
317,4
212,4
7315,4
752,4
284,4
2237,4
287,4
2948,4
7219,4
713,4
8183,4
2993,4
1213,4
2269,4
456,4
1932,4
244,4
395,4
8138,4
1300,4
240,4
260,4
439,4
5957,4
4422,4
5362,4
8445,4
3911,4
547,4
1619,4
4306,4
2865,4
8250,4
2083,4
7292,4
580,4
6167,4
5642,4
5640,4
4349,4
2616,4
875,4
4412,4
1723,4
7907,4
4403,4
5620,4
5622,4
1750,4
1089,4
2743,4
517,4
4272,4
4264,4
