4800,8.615384615384615,112,13
5165,8.6,43,5
5333,8.571428571428571,120,14
2549,8.571428571428571,120,14
8520,8.545454545454545,94,11
3670,8.523809523809524,179,21
2599,8.5,17,2
5227,8.5,17,2
6341,8.466666666666667,127,15
4015,8.461538461538463,110,13
6368,8.428571428571429,118,14
2282,8.428571428571429,118,14
3691,8.384615384615385,109,13
8425,8.363636363636363,184,22
3051,8.363636363636363,92,11
3703,8.333333333333334,200,24
4378,8.333333333333334,25,3
5280,8.333333333333334,100,12
4265,8.285714285714286,58,7
7891,8.23076923076923,107,13
4499,8.2,41,5
5727,8.2,41,5
7025,8.181818181818182,180,22
3049,8.166666666666666,98,12
2257,8.142857142857142,114,14
453,8.11111111111111,73,9
6597,8.1,81,10
2136,8.066666666666666,121,15
6333,8.0625,129,16
6066,8.0,32,4
4418,8.0,24,3
5211,8.0,16,2
3113,8.0,8,1
4677,8.0,136,17
7747,8.0,112,14
352,8.0,8,1
6356,8.0,128,16
5631,8.0,8,1
282,8.0,24,3
6323,7.933333333333334,119,15
6555,7.933333333333334,119,15
373,7.923076923076922,103,13
2303,7.88,197,25
5402,7.875,63,8
6536,7.8611111111111125,283,36
4380,7.857142857142858,110,14
3931,7.857142857142858,110,14
4621,7.857142857142858,110,14
2334,7.857142857142858,110,14
2571,7.857142857142858,110,14
5124,7.833333333333332,47,6
6450,7.823529411764706,133,17
2416,7.8125,125,16
5150,7.8,39,5
2454,7.705882352941178,131,17
7782,7.7,154,20
7027,7.6923076923076925,100,13
5146,7.666666666666668,46,6
6303,7.666666666666668,138,18
4428,7.666666666666668,115,15
7874,7.642857142857142,107,14
6126,7.625,61,8
4281,7.625,122,16
6968,7.588235294117648,129,17
6543,7.564102564102564,295,39
2133,7.529411764705883,128,17
1746,7.5,60,8
4843,7.48,187,25
4415,7.48,187,25
4522,7.466666666666668,112,15
4358,7.466666666666668,112,15
6328,7.466666666666668,112,15
720,7.4,74,10
6308,7.4,111,15
2232,7.4,111,15
4941,7.375,59,8
4713,7.375,118,16
5252,7.333333333333332,44,6
6583,7.333333333333332,44,6
1119,7.32,183,25
2727,7.3125,117,16
2196,7.277777777777778,131,18
4688,7.24,181,25
6402,7.222222222222222,130,18
5680,7.2,36,5
2127,7.1875,115,16
4356,7.166666666666668,43,6
6577,7.142857142857142,50,7
3701,7.083333333333332,85,12
4260,7.0769230769230775,92,13
2323,7.03125,225,32
5331,7.0,105,15
4473,7.0,42,6
5116,7.0,49,7
2708,7.0,7,1
2505,7.0,119,17
7579,7.0,63,9
6440,7.0,112,16
6794,7.0,14,2
5694,7.0,7,1
2034,7.0,7,1
2317,6.947368421052633,132,19
1125,6.9375,111,16
5435,6.857142857142858,96,14
1867,6.777777777777778,61,9
1061,6.75,27,4
4359,6.75,27,4
4761,6.7407407407407405,182,27
3666,6.7407407407407405,182,27
5200,6.7142857142857135,47,7
7069,6.705882352941178,114,17
2186,6.666666666666668,120,18
5389,6.647058823529411,113,17
4557,6.642857142857142,93,14
6579,6.625,53,8
3271,6.5,117,18
1666,6.5,26,4
6695,6.5,13,2
1035,6.5,26,4
2413,6.5,130,20
2332,6.4444444444444455,116,18
4156,6.44,161,25
6600,6.428571428571429,45,7
1811,6.4,64,10
5596,6.4,64,10
7865,6.4,64,10
6286,6.36842105263158,121,19
7001,6.363636363636362,140,22
6488,6.3181818181818175,139,22
3946,6.294117647058822,107,17
5323,6.285714285714287,44,7
6245,6.2631578947368425,119,19
6526,6.2631578947368425,119,19
6528,6.2631578947368425,119,19
2168,6.235294117647059,106,17
7039,6.222222222222222,112,18
7028,6.206896551724138,180,29
3936,6.1764705882352935,105,17
8117,6.125,98,16
7513,6.1111111111111125,55,9
7046,6.103448275862068,177,29
2287,6.095238095238094,128,21
3791,6.083333333333332,73,12
644,6.083333333333332,146,24
6521,6.05,121,20
468,6.0,72,12
7035,6.0,138,23
7071,6.0,156,26
3916,6.0,6,1
7041,6.0,102,17
7709,6.0,6,1
6562,6.0,84,14
6981,6.0,144,24
220,6.0,36,6
4021,5.9444444444444455,107,18
7049,5.935483870967742,184,31
6522,5.913043478260869,136,23
2187,5.9,118,20
4450,5.894736842105262,112,19
6958,5.8888888888888875,106,18
4306,5.875,47,8
2471,5.8181818181818175,128,22
7168,5.75,138,24
6241,5.7368421052631575,109,19
7050,5.7272727272727275,189,33
2135,5.7142857142857135,120,21
1264,5.6923076923076925,74,13
7037,5.6875,182,32
3923,5.684210526315789,108,19
2095,5.666666666666668,85,15
6977,5.6538461538461515,147,26
7315,5.636363636363638,62,11
8102,5.63157894736842,107,19
5626,5.625,90,16
6119,5.625,45,8
5171,5.6111111111111125,101,18
7003,5.608695652173912,129,23
4167,5.6,112,20
7860,5.59375,179,32
4226,5.57894736842105,106,19
6540,5.552631578947367,211,38
6507,5.552631578947367,211,38
2558,5.55,111,20
4003,5.533333333333332,83,15
6351,5.523809523809524,116,21
2185,5.521739130434782,127,23
7832,5.5,110,20
1180,5.5,11,2
5400,5.5,99,18
3715,5.466666666666668,82,15
4624,5.454545454545454,60,11
5016,5.3809523809523805,113,21
1211,5.357142857142857,75,14
2038,5.333333333333333,160,30
2145,5.333333333333333,144,27
4240,5.333333333333333,368,69
3955,5.333333333333333,144,27
7000,5.307692307692308,69,13
3625,5.3,106,20
1796,5.285714285714286,148,28
5707,5.25,42,8
7055,5.25,105,20
4039,5.25,84,16
2216,5.25,126,24
7051,5.147058823529412,175,34
2752,5.142857142857143,108,21
5314,5.142857142857143,108,21
5628,5.142857142857143,72,14
